flight_no,scheduled_departure,scheduled_arrival,fuel_infra_fee,dep_airport_code,dep_terminal,arr_airport_code,arr_terminal,airline_code,aircraft_model
9C6320,15:00:00,17:45:00,50,JJN,T1,SJW,T2,9C,A321
9C6325,19:45:00,21:45:00,50,KHN,T2,TAO,T1,9C,A321
9C6326,22:45:00,0:30:00,50,TAO,T1,KHN,T2,9C,A320
9C6333,7:45:00,10:45:00,50,PVG,T2,TGO,T1,9C,A320
9C6334,11:30:00,14:30:00,50,TGO,T1,PVG,T2,9C,A320
9C6341,11:00:00,13:45:00,50,SHE,T3,HFE,T1,9C,A321
9C6359,15:25:00,17:20:00,50,SWA,T1,HGH,T3,9C,A320
9C6360,10:35:00,12:30:00,50,HGH,T3,SWA,T1,9C,A320
9C6361,18:00:00,20:55:00,50,LHW,T3,CZX,T1,9C,A320
9C6362,21:40:00,0:35:00,50,CZX,T1,LHW,T3,9C,A321
9C6369,21:00:00,22:55:00,50,NGB,T2,SWA,T1,9C,A321
9C6370,19:05:00,21:00:00,50,SWA,T1,NGB,T2,9C,A321
9C6381,12:55:00,17:30:00,50,XIY,T5,KHG,T2,9C,A320
9C6382,19:55:00,0:05:00,50,KHG,T2,XIY,T5,9C,A321
9C6391,8:25:00,10:25:00,50,PVG,T2,WEH,T1,9C,A320
9C6392,11:15:00,13:00:00,50,WEH,T1,PVG,T2,9C,A320
9C6401,9:05:00,11:50:00,50,SHA,T1,XIY,T5,9C,A321
9C6402,12:55:00,15:15:00,50,XIY,T5,SHA,T1,9C,A321
9C6403,18:20:00,20:50:00,50,SJW,T2,DYG,T2,9C,A321
9C6404,21:45:00,23:55:00,50,DYG,T1,SJW,T2,9C,A321
9C6409,6:45:00,9:40:00,50,PVG,T2,ZYI,T1,9C,A321
9C6410,10:35:00,13:00:00,50,ZYI,T1,PVG,T2,9C,A320
9C6411,16:55:00,20:00:00,50,CGO,T2,CGQ,T2,9C,A320
9C6412,21:05:00,0:05:00,50,CGQ,T2,CGO,T2,9C,A321
9C6415,7:50:00,11:05:00,50,NGB,T2,MIG,T1,9C,A320
9C6416,11:50:00,15:00:00,50,MIG,T1,NGB,T2,9C,A321
9C6421,6:55:00,10:35:00,50,SJW,T2,SYX,T1,9C,A321
9C6422,11:35:00,15:20:00,50,SYX,T2,SJW,T2,9C,A320
9C6425,16:40:00,18:55:00,50,HET,T1,HRB,T2,9C,A320
9C6426,23:25:00,1:20:00,50,HET,T1,LHW,T3,9C,A320
9C6433,8:00:00,10:30:00,50,XIY,T5,NGB,T2,9C,A320
9C6434,11:20:00,14:10:00,50,NGB,T2,XIY,T5,9C,A320
9C6437,15:30:00,18:00:00,50,XIY,T5,NGB,T2,9C,A320
9C6438,21:40:00,0:35:00,50,NGB,T2,XIY,T5,9C,A321
9C6445,14:45:00,17:50:00,50,PVG,T2,GYS,T1,9C,A320
9C6446,18:50:00,21:30:00,50,GYS,T1,PVG,T2,9C,A320
9C6449,6:00:00,10:00:00,50,PVG,T2,JHG,T1,9C,A321
9C6450,11:10:00,14:50:00,50,JHG,T1,PVG,T2,9C,A321
9C6459,7:50:00,11:00:00,50,XIY,T5,SWA,T1,9C,A320
9C6460,22:40:00,1:50:00,50,SWA,T1,XIY,T5,9C,A320
9C6461,10:50:00,15:15:00,50,XIY,T5,YIN,T1,9C,A320
9C6462,16:00:00,19:55:00,50,YIN,T1,XIY,T5,9C,A320
9C6465,8:10:00,11:20:00,50,SJW,T2,NNG,T2,9C,A321
9C6466,19:50:00,22:55:00,50,NNG,T2,SJW,T2,9C,A321
9C6471,8:30:00,10:35:00,50,SJW,T2,CGQ,T2,9C,A320
9C6472,21:10:00,23:20:00,50,CGQ,T2,SJW,T2,9C,A320
9C6475,18:00:00,20:10:00,50,SHA,T1,HNY,T1,9C,A320
9C6476,20:55:00,22:50:00,50,HNY,T1,SHA,T1,9C,A320
9C6481,10:00:00,11:50:00,50,DOY,T1,CGQ,T2,9C,A320
9C6482,22:25:00,1:15:00,50,DOY,T1,SZX,T3,9C,A321
9C6487,20:30:00,23:50:00,50,PVG,T2,LHW,T3,9C,A321
9C6488,8:00:00,10:55:00,50,LHW,T3,PVG,T2,9C,A321
9C6495,10:15:00,15:50:00,50,SHA,T1,URC,T2,9C,A320
9C6496,16:50:00,21:30:00,50,URC,T2,SHA,T1,9C,A320
9C6497,9:00:00,11:30:00,50,DOY,T1,FOC,T1,9C,A320
9C6498,15:30:00,17:00:00,50,DOY,T1,SHE,T3,9C,A320
9C6499,15:50:00,20:20:00,50,SHE,T3,JGN,T2,9C,A321
9C6500,21:05:00,0:55:00,50,JGN,T2,SHE,T3,9C,A320
9C6517,7:00:00,9:00:00,50,SHA,T1,SJW,T2,9C,A320
9C6518,16:10:00,18:10:00,50,SJW,T2,SHA,T1,9C,A320
9C6539,16:45:00,18:35:00,50,SJW,T2,TGO,T1,9C,A320
9C6540,21:50:00,1:00:00,50,SJW,T2,SZX,T3,9C,A321
9C6595,10:15:00,11:40:00,50,TNA,T1,DLC,T1,9C,A320
9C6596,16:50:00,18:10:00,50,DLC,T1,TNA,T1,9C,A320
9C6599,21:05:00,0:40:00,50,HRB,T2,KHN,T2,9C,A321
9C6600,16:35:00,19:55:00,50,KHN,T2,HRB,T2,9C,A320
9C6601,7:00:00,10:05:00,50,LHW,T3,HGH,T3,9C,A320
9C6602,11:10:00,14:20:00,50,HGH,T3,LHW,T3,9C,A320
9C6617,17:00:00,20:50:00,50,PVG,T2,LJG,T1,9C,A321
9C6618,21:35:00,1:10:00,50,LJG,T1,PVG,T2,9C,A321
9C6623,12:15:00,15:55:00,50,LHW,T3,HTN,T1,9C,A320
9C6624,21:15:00,23:50:00,50,LHW,T3,PVG,T2,9C,A320
9C6677,20:45:00,23:55:00,50,LHW,T3,AAT,T1,9C,A321
9C6678,14:20:00,16:10:00,50,LHW,T3,TFU,T2,9C,A320
9C6687,19:05:00,21:10:00,50,PVG,T2,DOY,T1,9C,A320
9C6688,21:55:00,23:50:00,50,DOY,T1,PVG,T2,9C,A320
9C6695,9:45:00,12:20:00,50,KHN,T2,INC,T1,9C,A321
9C6696,13:10:00,15:40:00,50,INC,T1,KHN,T2,9C,A320
9C6697,7:35:00,10:50:00,50,LHW,T3,FOC,T1,9C,A320
9C6698,11:45:00,15:30:00,50,FOC,T1,LHW,T3,9C,A320
9C6699,17:45:00,20:30:00,50,LHW,T3,KWL,T2,9C,A320
9C6700,21:15:00,23:50:00,50,KWL,T2,LHW,T3,9C,A321
9C6711,18:55:00,20:55:00,50,YTY,T1,DYG,T2,9C,A320
9C6712,21:40:00,23:35:00,50,DYG,T1,YTY,T1,9C,A320
9C6719,14:40:00,16:50:00,50,SHA,T1,CAN,T3,9C,A320
9C6720,17:55:00,20:25:00,50,CAN,T3,SHA,T1,9C,A321
9C6727,18:40:00,20:55:00,50,SZX,T3,NNY,T1,9C,A321
9C6728,21:20:00,23:40:00,50,NNY,T1,SZX,T3,9C,A321
9C6731,17:50:00,19:55:00,50,DLC,T1,HET,T1,9C,A320
9C6732,19:05:00,20:55:00,50,HET,T1,DLC,T1,9C,A320
9C6733,8:35:00,12:20:00,50,PVG,T2,LJG,T1,9C,A320
9C6734,13:10:00,16:40:00,50,LJG,T1,PVG,T2,9C,A320
9C6743,21:25:00,1:05:00,50,XMN,T4,LHW,T3,9C,A321
9C6744,16:40:00,20:10:00,50,LHW,T3,XMN,T4,9C,A321
9C6747,12:45:00,15:50:00,50,SHA,T1,TFU,T2,9C,A320
9C6748,15:30:00,18:10:00,50,TFU,T2,SHA,T1,9C,A320
9C6759,14:20:00,16:50:00,50,PVG,T2,SHE,T3,9C,A320
9C6760,17:50:00,20:35:00,50,SHE,T3,PVG,T2,9C,A320
9C6771,10:55:00,14:20:00,50,CGQ,T2,KHN,T2,9C,A320
9C6772,7:00:00,9:55:00,50,KHN,T2,CGQ,T2,9C,A320
9C6777,9:10:00,12:10:00,50,YTY,T1,NNG,T2,9C,A321
9C6778,16:25:00,18:05:00,50,YTY,T1,DLC,T1,9C,A320
9C6781,7:50:00,10:00:00,50,SHE,T3,HET,T1,9C,A320
9C6782,11:15:00,13:15:00,50,HET,T1,SHE,T3,9C,A320
9C6785,13:00:00,15:40:00,50,WUH,T2,WUA,T1,9C,A320
9C6786,16:30:00,18:55:00,50,WUA,T1,WUH,T2,9C,A320
9C6787,7:55:00,9:50:00,50,SJW,T2,LHW,T3,9C,A321
9C6788,8:00:00,9:50:00,50,LHW,T3,SJW,T2,9C,A321
9C6789,16:10:00,20:25:00,50,LHW,T3,KHG,T2,9C,A321
9C6791,20:35:00,23:55:00,50,CGQ,T2,KHN,T2,9C,A321
9C6792,17:20:00,20:35:00,50,KHN,T2,CGQ,T2,9C,A320
9C6799,14:10:00,16:55:00,50,NGB,T2,NNG,T2,9C,A320
9C6800,17:55:00,20:30:00,50,NNG,T2,NGB,T2,9C,A321
9C6807,9:50:00,12:15:00,50,LHW,T3,KMG,T1,9C,A321
9C6808,13:20:00,15:35:00,50,KMG,T1,LHW,T3,9C,A320
9C6809,6:50:00,10:40:00,50,SHE,T3,KWL,T2,9C,A320
9C6810,18:05:00,21:40:00,50,KWL,T2,SHE,T3,9C,A320
9C6813,19:30:00,22:00:00,50,DLC,T1,XIY,T5,9C,A321
9C6814,23:05:00,1:15:00,50,XIY,T5,DLC,T1,9C,A321
9C6831,14:20:00,16:00:00,50,DLC,T1,CZX,T1,9C,A320
9C6832,16:45:00,18:30:00,50,CZX,T1,DLC,T1,9C,A321
9C6833,16:40:00,20:10:00,50,SHA,T1,XNN,T3,9C,A320
9C6834,20:55:00,23:40:00,50,XNN,T3,SHA,T1,9C,A321
9C6835,8:05:00,9:55:00,50,KHN,T2,ZUH,T1,9C,A320
9C6836,10:55:00,12:40:00,50,ZUH,T1,KHN,T2,9C,A321
9C6837,7:00:00,10:25:00,50,LHW,T3,ZUH,T1,9C,A320
9C6838,11:15:00,14:45:00,50,ZUH,T1,LHW,T3,9C,A320
9C6845,8:00:00,12:15:00,50,LHW,T3,KHG,T2,9C,A321
9C6846,13:00:00,16:25:00,50,KHG,T2,LHW,T3,9C,A321
9C6853,17:55:00,20:25:00,50,DLC,T1,KHN,T2,9C,A321
9C6854,15:40:00,17:55:00,50,KHN,T2,DLC,T1,9C,A320
9C6858,15:35:00,19:00:00,50,LHW,T3,CGQ,T2,9C,A320
9C6873,14:10:00,16:20:00,50,SZX,T3,NGB,T2,9C,A320
9C6874,21:50:00,0:10:00,50,NGB,T2,SZX,T3,9C,A321
9C6887,19:05:00,21:10:00,50,SHE,T3,TYN,T2,9C,A320
9C6889,11:00:00,12:40:00,50,DLC,T1,TYN,T2,9C,A320
9C6890,13:30:00,15:10:00,50,TYN,T2,DLC,T1,9C,A321
9C6891,13:40:00,16:20:00,50,SHA,T1,CAN,T3,9C,A320
9C6892,9:00:00,11:30:00,50,CAN,T3,SHA,T1,9C,A320
9C6903,10:40:00,12:50:00,50,TSN,T2,KHN,T2,9C,A320
9C6904,7:30:00,9:40:00,50,KHN,T2,TSN,T2,9C,A321
9C6927,12:55:00,15:15:00,50,URC,T2,YTW,T1,9C,A321
9C6928,19:05:00,23:55:00,50,URC,T2,SHA,T1,9C,A321
9C6937,15:15:00,19:20:00,50,PVG,T2,DLU,T1,9C,A320
9C6938,20:10:00,23:55:00,50,DLU,T1,PVG,T2,9C,A320
9C6951,14:55:00,16:10:00,50,KMG,T1,LUM,T1,9C,A321
9C6952,16:55:00,18:15:00,50,LUM,T1,KMG,T1,9C,A320
9C7001,14:20:00,16:20:00,50,KHN,T2,XIY,T5,9C,A321
9C7002,6:05:00,8:10:00,50,XIY,T5,KHN,T2,9C,A321
9C7025,15:35:00,18:10:00,50,HDG,T1,XMN,T4,9C,A320
9C7045,8:35:00,11:40:00,50,LHW,T3,KRL,T2,9C,A320
9C7046,12:30:00,15:20:00,50,KRL,T2,LHW,T3,9C,A320
9C7067,10:00:00,12:00:00,50,DLC,T1,CGO,T2,9C,A320
9C7068,8:40:00,10:40:00,50,CGO,T2,DLC,T1,9C,A320
9C7069,18:55:00,21:05:00,50,DLC,T1,CGO,T2,9C,A320
9C7070,22:05:00,23:55:00,50,CGO,T2,DLC,T1,9C,A320
9C7079,9:30:00,12:00:00,50,YTY,T1,KWL,T2,9C,A321
9C7080,12:45:00,15:10:00,50,KWL,T2,YTY,T1,9C,A321
9C7087,15:10:00,18:25:00,50,LHW,T3,HGH,T3,9C,A320
9C7088,11:10:00,14:30:00,50,HGH,T3,LHW,T3,9C,A321
9C7091,17:15:00,18:40:00,50,SJW,T2,ZQZ,T2,9C,A320
9C7092,17:15:00,19:50:00,50,SJW,T2,PVG,T2,9C,A321
9C7099,9:50:00,12:10:00,50,SJW,T2,XNN,T3,9C,A320
9C7100,12:55:00,15:15:00,50,XNN,T3,SJW,T2,9C,A320
9C7109,16:20:00,19:35:00,50,LHW,T3,KRY,T1,9C,A321
9C7110,20:20:00,23:10:00,50,KRY,T1,LHW,T3,9C,A320
9C7115,13:45:00,17:35:00,50,PVG,T2,LJG,T1,9C,A321
9C7116,18:20:00,21:50:00,50,LJG,T1,PVG,T2,9C,A320
9C7117,7:05:00,10:00:00,50,SHA,T1,KWE,T2,9C,A320
9C7118,11:10:00,13:35:00,50,KWE,T2,SHA,T1,9C,A320
9C7125,7:15:00,11:00:00,50,LHW,T3,YIN,T1,9C,A321
9C7126,13:25:00,16:25:00,50,YIN,T1,LHW,T3,9C,A320
9C7135,10:40:00,13:10:00,50,LHW,T3,TSN,T2,9C,A320
9C7136,14:10:00,16:40:00,50,TSN,T2,LHW,T3,9C,A320
9C7137,13:00:00,18:10:00,50,CGO,T2,YIN,T1,9C,A320
9C7138,18:55:00,23:20:00,50,YIN,T1,CGO,T2,9C,A321
9C7151,7:30:00,12:40:00,50,CGO,T2,YIN,T1,9C,A321
9C7152,11:45:00,15:55:00,50,YIN,T1,CGO,T2,9C,A320
9C7161,12:05:00,15:05:00,50,PKX,T1,SWA,T1,9C,A321
9C7162,8:05:00,11:00:00,50,SWA,T1,PKX,T1,9C,A320
9C7163,18:20:00,21:15:00,50,SJW,T2,KWE,T2,9C,A320
9C7164,11:15:00,13:50:00,50,KWE,T2,SJW,T2,9C,A320
9C7171,7:10:00,9:30:00,50,LHW,T3,TNA,T1,9C,A321
9C7172,10:30:00,13:00:00,50,TNA,T1,LHW,T3,9C,A320
9C7179,11:10:00,13:50:00,50,SJW,T2,TFU,T2,9C,A320
9C7180,7:40:00,10:20:00,50,TFU,T2,SJW,T2,9C,A320
9C7203,15:20:00,18:20:00,50,SJW,T2,SWA,T1,9C,A321
9C7204,13:00:00,16:00:00,50,SWA,T1,SJW,T2,9C,A320
9C7237,14:40:00,17:35:00,50,SJW,T2,FOC,T1,9C,A321
9C7238,14:50:00,17:30:00,50,FOC,T1,SJW,T2,9C,A321
9C7251,17:55:00,19:55:00,50,YTY,T1,XMN,T4,9C,A320
9C7252,20:05:00,21:55:00,50,XMN,T4,YTY,T1,9C,A320
9C7263,12:20:00,16:25:00,50,LHW,T3,KHG,T2,9C,A320
9C7264,17:10:00,20:45:00,50,KHG,T2,LHW,T3,9C,A321
9C7275,7:30:00,10:05:00,50,PVG,T2,KWL,T2,9C,A321
9C7276,11:00:00,13:30:00,50,KWL,T2,PVG,T2,9C,A321
9C7277,9:50:00,12:15:00,50,SJW,T2,HLD,T1,9C,A320
9C7278,16:20:00,18:15:00,50,SJW,T2,SHA,T1,9C,A321
9C7325,18:05:00,20:45:00,50,TFU,T2,HGH,T3,9C,A320
9C7326,21:50:00,0:55:00,50,HGH,T3,TFU,T2,9C,A320
9C7329,12:00:00,14:45:00,50,TFU,T2,TAO,T1,9C,A321
9C7330,15:45:00,18:55:00,50,TAO,T1,TFU,T2,9C,A321
9C7331,18:05:00,20:40:00,50,TFU,T2,TAO,T1,9C,A321
9C7333,16:55:00,20:40:00,50,TFU,T2,URC,T2,9C,A321
9C7334,21:40:00,1:30:00,50,URC,T2,TFU,T2,9C,A321
9C7355,11:30:00,15:00:00,50,LHW,T3,KCA,T1,9C,A320
9C7356,16:25:00,19:35:00,50,KCA,T1,LHW,T3,9C,A321
9C7359,7:00:00,10:00:00,50,PVG,T2,YSQ,T1,9C,A321
9C7360,10:45:00,13:35:00,50,YSQ,T1,PVG,T2,9C,A320
9C7368,6:45:00,8:50:00,50,SWA,T1,SHA,T1,9C,A321
9C7369,8:15:00,12:50:00,50,TFU,T2,YIN,T1,9C,A321
9C7370,13:35:00,17:45:00,50,YIN,T1,TFU,T2,9C,A321
9C7371,11:05:00,13:55:00,50,LHW,T3,URC,T2,9C,A320
9C7372,18:50:00,21:45:00,50,LHW,T3,YTY,T1,9C,A321
9C7377,6:55:00,8:35:00,50,SHE,T3,TAO,T1,9C,A321
9C7378,9:50:00,11:30:00,50,TAO,T1,SHE,T3,9C,A320
9C7385,18:50:00,21:50:00,50,NGB,T2,SYX,T1,9C,A320
9C7386,20:45:00,23:35:00,50,SYX,T2,NGB,T2,9C,A321
9C7391,7:50:00,10:40:00,50,CAN,T3,SJW,T2,9C,A320
9C7392,11:35:00,14:50:00,50,SJW,T2,CAN,T3,9C,A320
9C7395,10:45:00,14:25:00,50,LHW,T3,AKU,T1,9C,A321
9C7396,16:50:00,20:00:00,50,AKU,T1,LHW,T3,9C,A320
9C7401,17:25:00,20:05:00,50,LHW,T3,KHN,T2,9C,A320
9C7402,21:05:00,23:45:00,50,KHN,T2,LHW,T3,9C,A320
9C7415,14:50:00,16:55:00,50,CSX,T2,SWA,T1,9C,A320
9C7416,21:00:00,23:40:00,50,CSX,T2,LHW,T3,9C,A320
9C7461,18:00:00,19:45:00,50,SWA,T1,HAK,T1,9C,A321
9C7507,16:20:00,19:05:00,50,TFU,T2,SWA,T1,9C,A320
9C7508,14:10:00,17:00:00,50,SWA,T1,TFU,T2,9C,A320
9C7511,11:45:00,13:55:00,50,CAN,T3,NGB,T2,9C,A320
9C7512,8:10:00,10:30:00,50,NGB,T2,CAN,T3,9C,A320
9C7517,10:30:00,12:55:00,50,PKX,T1,LHW,T3,9C,A321
9C7518,14:05:00,16:20:00,50,LHW,T3,PKX,T1,9C,A320
9C7519,9:35:00,12:05:00,50,SHA,T1,SZX,T3,9C,A320
9C7520,13:15:00,15:35:00,50,SZX,T3,SHA,T1,9C,A320
9C7535,16:30:00,18:50:00,50,TNA,T1,ENH,T1,9C,A320
9C7536,13:35:00,15:20:00,50,ENH,T1,TNA,T1,9C,A321
9C7553,9:30:00,11:35:00,50,YNZ,T2,FOC,T1,9C,A320
9C7554,15:10:00,16:50:00,50,YNZ,T2,DLC,T1,9C,A321
9C7555,23:00:00,1:30:00,50,SHA,T1,SZX,T3,9C,A320
9C7556,5:55:00,7:55:00,50,SZX,T3,SHA,T1,9C,A320
9C7579,12:40:00,15:30:00,50,CTU,T2,NGB,T2,9C,A320
9C7580,8:25:00,11:35:00,50,NGB,T2,CTU,T2,9C,A321
9C7593,7:25:00,9:40:00,50,SHE,T3,YTY,T1,9C,A320
9C7594,21:00:00,23:05:00,50,YTY,T1,SHE,T3,9C,A320
9C7595,10:30:00,13:10:00,50,YTY,T1,ZUH,T1,9C,A320
9C7596,14:00:00,16:30:00,50,ZUH,T1,YTY,T1,9C,A320
9C7603,14:30:00,16:55:00,50,YTY,T1,CGQ,T2,9C,A320
9C7604,17:45:00,20:20:00,50,CGQ,T2,YTY,T1,9C,A320
9C7607,17:10:00,21:10:00,50,PVG,T2,JHG,T1,9C,A321
9C7608,21:55:00,1:45:00,50,JHG,T1,PVG,T2,9C,A321
9C7609,6:50:00,8:50:00,50,SWA,T1,WUH,T2,9C,A320
9C7610,9:50:00,11:50:00,50,WUH,T2,SWA,T1,9C,A321
9C7611,9:50:00,11:35:00,50,NGB,T2,SWA,T1,9C,A320
9C7612,15:00:00,16:55:00,50,NGB,T2,DLC,T1,9C,A321
9C7617,17:00:00,18:55:00,50,TYN,T2,KHN,T2,9C,A320
9C7618,13:50:00,16:00:00,50,KHN,T2,TYN,T2,9C,A320
9C7621,16:25:00,18:30:00,50,CZX,T1,AKA,T1,9C,A320
9C7622,22:15:00,23:55:00,50,CZX,T1,DLC,T1,9C,A320
9C7635,6:35:00,8:55:00,50,PVG,T2,SHE,T3,9C,A320
9C7636,10:00:00,12:35:00,50,SHE,T3,PVG,T2,9C,A320
9C7649,6:55:00,10:00:00,50,DLC,T1,FOC,T1,9C,A320
9C7650,21:30:00,0:10:00,50,FOC,T1,DLC,T1,9C,A320
9C7651,9:55:00,15:20:00,50,HFE,T1,YIN,T1,9C,A320
9C7652,16:10:00,21:00:00,50,YIN,T1,HFE,T1,9C,A321
9C7665,10:35:00,13:20:00,50,SHE,T3,NGB,T2,9C,A320
9C7666,7:00:00,9:35:00,50,NGB,T2,SHE,T3,9C,A321
9C7681,10:20:00,12:30:00,50,SHA,T1,SWA,T1,9C,A320
9C7682,20:20:00,22:25:00,50,SWA,T1,SHA,T1,9C,A320
9C7683,22:35:00,0:45:00,50,SHA,T1,SWA,T1,9C,A320
9C7684,6:40:00,8:30:00,50,SWA,T1,SHA,T1,9C,A320
9C7685,9:20:00,12:25:00,50,SHA,T1,CTU,T2,9C,A320
9C7686,13:35:00,16:10:00,50,CTU,T2,SHA,T1,9C,A320
9C7747,12:15:00,15:20:00,50,LHW,T3,SHF,T1,9C,A321
9C7748,17:10:00,20:00:00,50,SHF,T1,LHW,T3,9C,A321
9C7749,17:05:00,18:55:00,50,CAN,T3,NGB,T2,9C,A320
9C7755,9:50:00,11:55:00,50,SHA,T1,TYN,T2,9C,A321
9C7756,19:40:00,21:40:00,50,TYN,T2,SHA,T1,9C,A320
9C7757,17:15:00,18:55:00,50,WEH,T1,NKG,T1,9C,A320
9C7758,22:30:00,0:05:00,50,WEH,T1,SHE,T3,9C,A320
9C8501,17:35:00,20:05:00,50,NGB,T2,KWL,T2,9C,A320
9C8502,20:50:00,23:05:00,50,KWL,T2,NGB,T2,9C,A321
9C8513,8:30:00,11:30:00,50,YTY,T1,LHW,T3,9C,A320
9C8514,8:15:00,11:00:00,50,LHW,T3,YTY,T1,9C,A321
9C8519,17:40:00,20:00:00,50,NGB,T2,TSN,T2,9C,A320
9C8523,7:05:00,9:35:00,50,PVG,T2,ENH,T1,9C,A321
9C8524,10:20:00,12:35:00,50,ENH,T1,PVG,T2,9C,A320
9C8537,7:40:00,10:00:00,50,SJW,T2,MIG,T1,9C,A320
9C8538,11:35:00,13:50:00,50,MIG,T1,SJW,T2,9C,A321
9C8546,15:50:00,18:35:00,50,NGB,T2,CGQ,T2,9C,A320
9C8547,18:50:00,21:05:00,50,SJW,T2,HGH,T3,9C,A320
9C8548,20:05:00,22:30:00,50,HGH,T3,SJW,T2,9C,A321
9C8553,7:35:00,10:55:00,50,SHE,T3,LHW,T3,9C,A321
9C8554,12:55:00,16:00:00,50,LHW,T3,SHE,T3,9C,A321
9C8555,12:55:00,14:55:00,50,SJW,T2,HGH,T3,9C,A320
9C8556,16:20:00,18:35:00,50,HGH,T3,SJW,T2,9C,A320
9C8605,14:25:00,17:35:00,50,NGB,T2,KMG,T1,9C,A320
9C8606,18:40:00,21:40:00,50,KMG,T1,NGB,T2,9C,A320
9C8611,16:15:00,18:20:00,50,SWA,T1,NKG,T1,9C,A320
9C8612,10:20:00,12:25:00,50,NKG,T1,SWA,T1,9C,A320
9C8613,6:30:00,8:40:00,50,SZX,T3,CKG,T3,9C,A320
9C8614,9:45:00,11:45:00,50,CKG,T3,SZX,T3,9C,A320
9C8627,17:00:00,19:40:00,50,SJW,T2,KWL,T2,9C,A320
9C8628,20:30:00,23:15:00,50,KWL,T2,SJW,T2,9C,A320
9C8631,14:45:00,17:10:00,50,NGB,T2,ZUH,T1,9C,A320
9C8632,18:00:00,20:15:00,50,ZUH,T1,NGB,T2,9C,A321
9C8633,10:55:00,13:00:00,50,SWA,T1,NKG,T1,9C,A320
9C8634,14:05:00,16:00:00,50,NKG,T1,SWA,T1,9C,A320
9C8661,16:55:00,19:00:00,50,SJW,T2,CGQ,T2,9C,A320
